display_name,business_name,twitter
Six Buck Truck,Six Buck Truck LLC,
Sloppy Mamas,"Sloppy Mamas, LLC",
Smile Grill,Smile Grill,
Smoking Kow BBQ,Smoking Kow BBQ LLC,SmokingKowBBQ
Southern Peach BBQ And Soul Food,Southern Peach BBQ And Soul Food,
Steak And Kabob,Steak And Kabob,
Stuffies,Stuffies,
Sumthin Slight,Sumthin Slight LLC,
Swizzler,Swizzler Food Truck,swizzlerfoods
Swizzler,Swizzler Food Truck 2,swizzlerfoods
Tacorito,Tacorito,
Tapas Truck / Taco One,"Tapas Truck, Taco One",
Taqueria El Ranchito,Taqueria El Ranchito,
Taste Of Ethiopia,Taste Of Ethiopia,
Taste Of Persia,Taste Of Persia,
Tazah Food Truck,Tazah Food Truck,
Tetsu Grill,Tetsu Grill,
Thai Bellies Buddy,Thai Bellies Buddy,
Thai Happy Belly,Thai Happy Belly,
The Subpalace,The Subpalace,
Tokyo In The City,Tokyo In The City,
Triana Ouinaksi,Triana Ouinaksi,
Washington Kabob & Indian Cuisine,Washington Kabob & Indian Cuisine LLC,
Wassub,WassubDC,wassubdc
Westray's Finest Ice Cream,Westray's Finest Ice Cream,
What The Pho,,
What's Good Grill,What's Good Grill,whatthephodc
Wi Jammin,Wi Jammin Catering,
Yori Story,Yori Story,
Yummy Pizza,Yummy Pizza,
Yumpling,Yumpling,
Zyaka Indian Cuisine,Zyaka Indian Cuisine,
